Image,Blur,Brightness,Contrast,Sharpness,Noise,Quality,Status
7.0.jpg,781.78,141.36,38.56,99.86,9.34,0.829,Good
Bacterial 111.jpg,3608.79,139.5,53.36,147.1,17.31,0.829,Good
bcatrial leaf blight131.png,1372.94,118.17,38.74,82.5,10.53,0.829,Good
bacterial leaf blight13.png,877.78,105.7,43.39,87.35,8.92,0.829,Good
Alternaria.jpg,905.15,107.88,44.05,98.74,9.94,0.829,Good
wilt cumin.jpg,778.74,141.41,38.53,99.66,9.33,0.829,Good
no(6)1.jpg,333.37,167.91,47.71,62.23,5.88,0.828,Good
powdety_mildew13.png,964.71,139.46,38.87,117.51,10.25,0.828,Good
pottasium_spider mite (2).jpg,528.74,106.33,48.98,51.05,6.21,0.828,Good
mosaic1.jpg,360.2,98.78,52.7,50.94,5.65,0.828,Good
WhatsApp Image 2026-03-31 at 11.17.18 AM (1).jpeg,357.2,112.85,40.9,52.9,5.4,0.828,Good
Nitro_Magnesi.jpeg,1704.93,126.2,35.64,99.18,11.92,0.827,Good
Bacterial blight114.jpg,3642.47,138.36,52.28,148.36,17.45,0.827,Good
mosaic.jpg,733.18,82.66,56.94,94.17,8.98,0.827,Good
blackspot12.png,1507.44,114.14,43.83,110.0,12.09,0.827,Good
castor_he1.png,1076.25,184.5,80.36,47.69,8.76,0.827,Good
IMG-20260325-WA0026.jpg,1977.05,99.08,57.4,54.69,10.69,0.827,Good
wilt8.jpg,3228.96,99.47,61.64,146.19,16.54,0.827,Good
nietro_magnes.jpeg,1706.81,126.2,35.64,99.15,11.93,0.827,Good
leaf curl19.png,364.53,93.74,43.04,60.99,5.64,0.826,Good
